id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix,status
T-10,Dead language option,My account (kasvunpolku),"Language select offers Sinhala, Tamil and Finnish with no 'coming soon' label; locale files are empty so choosing them silently shows English","src/pages/kasvunpolku/MyAccount.jsx:84-87; src/locales/fi.json, si.json, ta.json = {}",major,Remove the si/ta/fi options until translated,fixed
T-11,Dead link,My account > My data,"'Export observations as JSON' is href=""#"" and does nothing",src/pages/kasvunpolku/MyAccount.jsx:96,major,Remove element (or wire to a real export),fixed
T-12,Internal jargon shown,Onboarding,Visible onboarding copy says 'The Phase 2 Architectural Skeleton is enforced in software.' Internal build language,src/components/onboarding/CalmOnboarding.jsx:52,major,"'The daily structure is built into the platform, so every school follows the same curriculum rhythm.'",fixed
T-13,Mock data on dashboard,Teacher dashboard > Two Children to Notice,"Hard-coded SAMPLE_REVIEW children 'A.M.' age 5 and 'S.K.' age 4, 'Frangipani Room', shown to every teacher; 'Add note' button has no onClick. Marked TODO Phase 3","src/components/dashboard/TwoChildrenWidget.jsx:4-9,31-42",major,Remove widget until wired to real Child data; or drive from the teacher's classroom children and link 'Add note' to observation form,fixed
T-14,Mock data on dashboard,Teacher dashboard > Heart Bear Script,"Hard-coded SEEDED_SCRIPT and label 'Self-Awareness Pillar · Bright Bloomers · January Week 1' shown every week to every teacher, with badge 'Ready to read'. Marked TODO Phase 3","src/components/dashboard/HeartBearScript.jsx:4-14,29-31,43",major,"Remove widget, or load the approved HeartwiseScript/Printable for the current week and classroom; hide when none",fixed
T-16,Hard-coded data,Teacher dashboard > Festival banner,"FESTIVALS array with fixed dates; Vesak (5/12), Deepavali (10/24) and Eid al-Fitr (3/31) are lunar and move every year, so banner will show on wrong dates. SriLankanFestival entity exists but is not used. Vesak text claims 'lantern materials are ready in the Forest School Hub' (unverified)",src/components/dashboard/FestivalBanner.jsx:6-13,major,Read dates from SriLankanFestival entity per year; remove the 'materials are ready' sentence,open
T-17,Dashboard metric,Super admin dashboard > Songs awaiting review,"Card is live (Song status music_generated + approved; currently 641 + 0 = 641) but only counts songs, while the Review Queue it links to also includes HeartWiseTip and GrowthMindsetPhrase with status needs_review, so numbers can disagree. Label starts lower case: 'songs and stories awaiting your review'","src/components/dashboard/SongReviewCTACard.jsx:20-25,46; src/lib/reviewQueue.js:45-48",major,"Reuse loadReviewItems() count so it matches the queue; label 'Songs, stories and parent content awaiting your review'",open
T-18,Dashboard metric,Super admin dashboard > Launch Readiness,'Schools have timezone configured' can never be fixed from the app: School schema has no timezone field and Edit School dialog has no timezone input (live: 2 of 3 set; Finnish World School missing),src/components/launch/LaunchReadinessCard.jsx:79-84; base44/entities/School.jsonc (no timezone); src/components/schools/EditSchoolDialog.jsx (no field),major,"Add timezone to School schema and edit dialog (default Asia/Colombo), or drop the check",open
T-24,Dashboard bug,School admin dashboard header,"Subtitle uses school.name and school.location, which do not exist (field is school_name), so the school name never shows",src/pages/SchoolAdminDashboard.jsx:19,major,Use school.school_name and school.city,fixed
T-26,Mock data,Activity Library,"When the Activity list is empty or the query fails, page shows SAMPLE_ACTIVITIES as if real (includes 'Leaf Printing with Autumn Colours')","src/pages/ActivityLibrary.jsx:53-150,153,157",major,Show empty state 'No activities yet.' and an error message on failure; delete SAMPLE_ACTIVITIES,fixed
T-27,Hard-coded text,Children notes page,Heading 'The Frangipani Room' and card line 'Frangipani Room · 2026' hard-coded for every child; also no empty state when there are no children,"src/pages/ChildrenNotes.jsx:42,54,69",major,Use the child's classroom name from data; add empty state 'No children in this room yet.',fixed
T-28,Hard-coded text,Child overview / profile modal,'Frangipani Room · Bright Bloomers · 2026' hard-coded for every child,src/components/children/ChildOverviewTab.jsx:106; src/components/children/ChildProfileModal.jsx:48,major,"Render child's classroom, age group and year from the record; hide if missing",fixed
T-29,Season words,Forest School page,"Session cards show 'Spring / Summer', 'Spring / Autumn', 'Autumn / Winter' (northern seasons; Colombo uses terms)","src/pages/ForestSchool.jsx:55,70,85 (rendered at 168,196)",major,"Replace with 'Term 1', 'Term 2', 'Term 3' or 'All year' as the curriculum team confirms",fixed
T-31,Season logic,Parent > Today daily moment,"currentSeason() maps months to spring/summer/autumn/winter and queries entity SeasonalMoment, which does not exist in base44/entities (call always fails silently). Card kicker shows 'A quiet season'","src/lib/parent/useDailyMomentPhoto.js:50-58,74-80; src/components/parent/hw/today/DailyMomentCard.jsx:28",major,Remove the SeasonalMoment branch or key it on Term 1/2/3; kicker 'A quiet moment',fixed
T-35,US spelling,Sidebar,Section header 'Programs' (appears twice),"src/components/layout/Sidebar.jsx:47,91",major,'Programmes',fixed
T-36,US spelling,Curriculum canvas,"'Morning Program', 'Evening Program', 'Evening Program · N-week year'",src/components/canvas/ProgramSegment.jsx:10-11; src/components/canvas/CanvasMonthGrid.jsx:196,major,"'Morning Programme', 'Evening Programme'",fixed
T-37,US spelling,Schools,"'License Plan', 'License & Limits', 'License Start', 'License End' (noun = licence in British English); also policies copy 'license & inspection bodies'","src/pages/Schools.jsx:111; src/components/schools/EditSchoolDialog.jsx:135,165,169; src/lib/policies.js:34",major,"'Licence plan', 'Licence and limits', 'Licence start', 'Licence end', 'licensing and inspection bodies'",fixed
T-38,US spelling,Parent notifications (en.json),'{child} practiced {milestone} today.' (verb should be practised),src/locales/en.json:15,major,'{child} practised {milestone} today.',fixed
T-43,US date format,Teacher dashboard and 9 other places,"Dates formatted US style 'EEEE, MMMM d, yyyy' / 'MMM d, yyyy' (e.g. 'Friday, September 25, 2026'); 10 occurrences","src/pages/TeacherDashboard.jsx:72; src/components/kasvunpolku/control/HeroHeader.jsx:25; src/pages/parent/ParentPhotoAlbum.jsx:161,181; src/pages/parent/ParentFirstMoments.jsx:105; src/components/kasvunpolku/parent/MilestoneDetailCard.jsx:113; src/components/kasvunpolku/summary/SummaryHero.jsx:37; src/pages/kasvunpolku/SharedCalendars.jsx:72; src/pages/parent/ParentCalendars.jsx:97; src/pages/training/MyReflections.jsx:191",major,Use 'EEEE d MMMM yyyy' and 'd MMM yyyy' (e.g. 'Friday 25 September 2026'),fixed
T-44,Child safety,Parent > SOS overlay,"SOS flow ('What's happening right now?', includes 'I lost it' and free-text 'Other') shows no emergency or helpline numbers. No 1990 (Suwa Seriya ambulance) or 1929 (NCPA child helpline) anywhere in src; no wrong numbers (110/911) found either",src/components/parent/hw/sos/SOSOverlay.jsx:81-131; grep of src for 1990|1929|911|110 finds none in UI,major,"Add a fixed footer to SOS and Find Your Way Back: 'If a child is hurt or in danger, call 1990 (Suwa Seriya ambulance). For child protection, call 1929 (National Child Protection Authority).'",fixed
T-45,Content safety,Forest School page,Session 'Fire and Warmth (Pre-Primary Plus Only)' tagged 'Autumn / Winter'; fire activity for 5-6 year olds needs a safety review and the season tag does not fit Colombo,src/pages/ForestSchool.jsx:80-85,major,"Curriculum lead to review; retag to a Term, add supervision note",fixed
T-49,Meta / SEO,index.html,<title>Polaricx</title> does not match finniped.com brand; no meta description; no Open Graph or Twitter tags; lang='en' not 'en-GB'; favicon is the Base44 logo (https://base44.com/logo_v2.svg); apple-mobile-web-app-title 'Polaricx',"index.html:2,5,11,12",major,"lang='en-GB'; title and description agreed with founder (e.g. 'Finniped' + one-line description); add og:title, og:description, og:image, og:url=https://finniped.com; own favicon",fixed
X-01,Performance,All pages (src/App.jsx),"Main JS bundle is 3.69 MB raw / ~970 KB gzipped. Every visitor, including parents on phones hitting /parent-login, downloads the whole admin + curriculum + music app before anything renders. App.jsx statically imports ~150 page components and uses zero React.lazy.","run_command: npx vite build --outDir /tmp/fpbuild -> assets/index-45DC4TbD.js 3,690,144 bytes; gzip -c | wc -c = 993,503; grep -c 'lazy(' src/App.jsx = 0",major,"Route-level code splitting: convert page imports in src/App.jsx to React.lazy() + <Suspense>, at minimum split /parent/*, /admin/*, /fws/*, /curriculum/*, music/story studios into separate chunks. Target <300 KB gzip for the parent/public entry.",open
X-07,Dead code,src/App.jsx,"25 page components are imported but never routed, so they are dead code and still sit in the bundle: MyChild, WeeklySummary, TipsAndGuidance, Messages, MyAccount, HWGrowth, ParentDashboard, ParentInbox, ParentWeeklySummary, ParentSongs, ParentGrowthMindset, ParentReflect, ParentJourney, ParentMilestoneLibrary, ParentMessages, ParentHeartWise, ParentHeartWiseDetail, ParentWords, ParentQuestions, ParentSettings, ParentHeartWiseBook, ParentPath, ParentReadingNumbers, ParentFirstWords, ParentFirstMoments.","run_command: for each default import in src/App.jsx, grep for '<Name' JSX usage -> 0 hits for the 25 names listed",major,"Delete the unused imports (and the page files, once confirmed retired, since their routes now LegacyRedirect elsewhere). This also shrinks X-01.",open
X-10,Routing,"/parent/admin, /kasvunpolku/admin, /admin/kasvunpolku","The same admin screen (KasvunpolkuControl) is mounted on 3 paths. /parent/admin renders it inside the parent-only ParentGuard + ParentShell, which exposes a staff admin screen in the parent area.","src/App.jsx: <Route path=""/parent/admin"" element={<KasvunpolkuControl />} /> inside <ParentGuard><ParentShell>",major,"Remove /parent/admin (or change it to a redirect to /admin/kasvunpolku), and make sure KasvunpolkuControl checks for an admin role itself.",open
X-11,SEO / branding,index.html,"The HTML shell has no meta description and no og:title / og:image. The title is 'Polaricx', not the Finniped brand, and the favicon is Base44's logo (https://base44.com/logo_v2.svg), so link previews and browser tabs show Base44/Polaricx branding on finniped.com.","Read index.html: <title>Polaricx</title>; <link rel=""""icon"""" href=""""https://base44.com/logo_v2.svg"""">; no <meta name=""""description"""">",major,"Add a meta description, Open Graph/Twitter tags, a proper favicon and apple-touch-icon in public/, and a title that matches the brand used on finniped.com.",open
X-13,Security / supply chain,src/lib/finnipedImport.js:20,"jszip is loaded at runtime with import('https://esm.sh/jszip@3.10.1'), meaning code is executed from a third-party CDN without integrity pinning. The Finniped import breaks if esm.sh is blocked or down.","src/lib/finnipedImport.js: const mod = await import(/* @vite-ignore */ ""https://esm.sh/jszip@3.10.1""); comment says 'jszip is not a dependency of this app'",major,Add jszip to package.json and import it normally (it gets bundled and lazy-loaded with the admin import page).,open
X-16,Security,Platform security scan,"The latest Base44 security scan is out of date and holds no usable findings (result = null, because the app or scanner changed since the last run). Static code analysis is enabled. No current read-only security evidence exists for the app.","execute_api GET /api/apps/69f71ad98aafbe26ce61e092/security/scan -> {""status"":""out_of_date"",""result"":null,""static_code_enabled"":true}",major,"Run a new scan (POST /security/scan, or Security in the builder), which was not done here because the audit is read-only, then review the RLS, secrets and static findings.",open
C-19,Schema drift,Activity,"60 of 150 activities have status 'master', which is not in the enum (published/draft/review). Categories 'pedacare' and 'phonido' and block_type 'morning_welcome' are also off-enum. 10 activities have a null age_group_id, 1 sits on a merged tier (69f83a5352432432b8214838), and 59 use theme_id to hold a CurriculumMonth id.",Activity query (150 rows),minor,Normalise status to 'published' and extend or migrate the category enum. Assign canonical tiers. Stop overloading theme_id and add curriculum_month_id instead.,open
C-20,Printables / test data,Printable,"The 10 seed printables are published with no file_url (69f722e4b88fd62d4bb752b6 to …bf), so they open to nothing. 8 draft 'Sample' records exist (69f9b422a02bd71b58ccc26b to 69f9b42928c02c248bf70997). Tiny Roots has 4 identical 13-item month packs (52 rows: 'Weekly Plan — Week 1' ×4) with no month or week link. Little Wonders and Pre-Primary Plus have no packs. Type 'materials_checklist' is off-enum.",Printable query (129 rows),minor,"Unpublish printables that have no file, delete the Sample drafts, add curriculum_month_id/week_id to the month packs and keep one pack per month, and generate packs for the missing bands.",open
C-21,Test records,FinnipedResource,"The archived test row 'ZZ schema test (delete me)' is still present. No test, zz, delete, sample or lorem names were found in CurriculumMonth, CurriculumWeek, CurriculumDay or FinnipedPlacement. The CurriculumDay titles 'Testing with Water' and similar are real content.",FinnipedResource 6ab566dac64b719620a698cc,minor,Delete it.,open
C-22,Month page,CurriculumMonth (Activities tab),"The Activities tab is not month-specific. The filter `a.theme_id === month.theme_id || a.age_group_id === tierId` is always true, because the rows were already fetched by age_group_id, so every month shows the same tier-wide list.",CurriculumMonth.jsx:64-71,minor,"Filter by curriculum_month_id (or theme_id) only, and fall back to the tier list with a label.",open
C-23,Day page,CurriculumDayPage,"The Day plan page has no Numenature/HeartWise 'open at page' panel. Sessions appear only on the Week page and in DailyPlan, so a teacher who opens a day from the Week page can't reach the session PDF.",grep FinnipedWeekPanel: only CurriculumWeekPage.jsx:304 and DailyPlan.jsx:630,minor,Add a compact 'Today's sessions' strip on the Day page: session number = day index within the week's 3 sessions.,open
L-04,Data / band,"FinnipedResource (38 published, band empty)",38 published records have no band. The 20 Numenature v3 guides and concept books and the Wordwise/Lighthouse readers are genuinely cross-band (label 'All bands / birth–6'). The 10 Treasure Books and 3 Numinature Step One records come from 'Toddlers' source folders and may belong to a band.,"jq: status=published and band=='' gives 38 (Numenature v3 20, Treasure Books 10, Numinature Step One 3, Wordwise 3, Wordwise Lighthouse 2).",minor,"Leave the cross-band ones empty and fix the filter (see L-03). For Treasure Books and Numinature Step One, confirm with the author. The low-confidence proposed_band is in library_ids.json published_no_band.",open
L-07,Data / drafts,FinnipedResource drafts (40 essential),"40 drafts are tagged necessity=essential but not published. They include Wordwise Lighthouse 1 Method and Concept Guide and kits 4/5/6 (while the Manual and worksheet 9 are live), Forestwise Tropical Safety Handbook, the Forest Activity Compendium, and the Wordwise Year Map Curriculum and Classroom Set per band. All Numenature v3 and HeartWise hw1 books are published (60/60 and 39/39), so no v3/hw1 book is stuck in draft.","jq: status=draft and necessity=essential = 40. Status by bundle: v3 published 60, hw1 published 39, no v3/hw1 drafts.",minor,"Review the list in library_ids.json drafts_essential_review_for_publish. Publish the Lighthouse set and the Forestwise Safety Handbook, or downgrade necessity. The short WOR-xx-TG/WB drafts (11–21 pp) look like fragments of the published guides and can stay draft or be archived.",open
L-08,Data / drafts,FinnipedResource Foundation (4 drafts),"Three versions of the Finniped Master Plan Guide (v3, v4 Ultimate, v5) plus the Finnish Pedagogy Curriculum v6 are all draft. The Foundation pillar has nothing published, and the older versions would clutter it if it were ever published.","jq: pillar=Foundation, status draft x4",minor,Publish only the current version (v5 / v6) and archive v3 and v4 with superseded_by.,open
L-09,Data / contents,FinnipedResource (83 published),"83 published books have no contents list, page_w or page_h: every non-v3/hw1 pillar (Artelier, Bodywise, Forestwise, Lifecraft, Wonderwild, Wordwise, Lighthouse, Treasure Books, Numinature). The reader shows 'This book has no contents list'. 'HeartWise Beginnings: the First 1,000 Days — Tiny Roots' (37 pp) has a single contents entry.","jq: published with empty contents = 83 (all bundle_version null). All 99 v3/hw1 books have contents, all page numbers are within 1..pages and in order.",minor,"Run the contents/page-size extractor over the legacy published books (outline or bookmarks from the PDF), and fix the 1,000 Days contents.",open
L-10,Data / size,FinnipedResource (14 published oversized),"14 published books have oversized=true (up to 620 pp / 16.2 MB: Wordwise Session Lesson Banks, the Decodable Readers x2, the Lighthouse Manual, Numinature Step One). FlipBook uses pdfjs disableAutoFetch:false, so it downloads the whole file, and books over 400 pages open in the plain iframe, which shows only the first page on iOS.","jq oversized=true and status=published = 14. Code: src/fws/components/FlipBook.jsx:19 FLIP_LIMIT=400, :137 disableAutoFetch:false.",minor,"Split the oversized books as the schema note says (>20MB or >150pp). In FlipBook, set disableAutoFetch:true with range requests (the server supports 206).",open
L-11,Data / covers,FinnipedResource schema + ResourceCard,"There are no cover or thumbnail fields and no cover images. Cards are text only (src/pages/FinnipedLibrary.jsx:226-269), so there were no image URLs to check and no image over 1 MB.",list_entity_schemas: no cover/thumbnail property. The 440 records have no such keys.,minor,"Optional: generate a page-1 thumbnail at import (pdfjs render, then UploadFile, stored as cover_url) and show it on the card. Keep it under ~150 KB (WebP).",open
L-12,Data / cleanup,FinnipedResource 6ab566dac64b719620a698cc,"The test record 'ZZ schema test (delete me)' is archived, has no band or file_url, bundle_version 'test', and replaces ['x'], which points nowhere. It is the only archived record without superseded_by.","jq: the only dangling replaces ref out of 126, and the only archived record with no superseded_by out of 126.",minor,Delete the record.,open
L-14,Favourites,src/pages/FinnipedLibrary.jsx:77-87,"The shelf ignores visibility rules. A favourite whose book is now draft, or has no successor, is still shown, and a missing book falls back to the denormalised favourite row with its old file_url. Gated books aren't filtered for non-staff there either.",Code read: shelf builds from favourites without applying the `visible` filter.,minor,Apply the same status and safeguarding checks to shelf items. Show a 'no longer available' state instead of a stale link.,open
L-16,UI / archived,src/pages/FinnipedLibrary.jsx:65-68,"Archived books are correctly hidden from non-admins (status!=='published' is dropped at line 65), and from admins in the default view (line 68). No issue here. Minor gap: nothing hides necessity='unnecessary' AND necessity_approved=true books from non-super-admins, as the schema describes (0 published records affected today).",Code read. Data: published with necessity unnecessary = 0.,minor,Add `if (r.necessity==='unnecessary' && r.necessity_approved && role!=='super_admin') return false;` to the visible filter.,open
L-17,Reader,"src/fws/components/FlipBook.jsx:201-210, 339-340","The contents list and the page jump only work in flip mode. go() returns early when pfRef is null, so in plain/fallback mode (books over 400 pages, or after a PDF.js error) contents clicks do nothing. The fallback iframe also gives no error message: status 'error' is set but never rendered, so a 403 file (L-01) shows a blank or XML page.",Code read. FlipBook.jsx:203 `if (!pf) return;`. status==='error' is not used in the JSX.,minor,"In plain mode, make go() update `current` (the iframe src already uses #page=current+1). Render an error state ('This book could not be opened – try Download / tell an admin') when both the PDF.js load and a HEAD check fail.",fixed
L-18,Reader,src/pages/FinnipedLibrary.jsx:263 + FlipBook.jsx:296,"The download buttons use `<a download>` on a cross-origin URL (base44.app redirecting to media.base44.com). Browsers ignore the download attribute cross-origin, so 'Download' just opens the PDF in the same tab and navigates away from the app.",Code read. The fetch shows a redirect to media.base44.com with no Content-Disposition header.,minor,"Fetch the file as a blob and save it with an object URL, or add target=_blank. The Print button already opens a new tab.",fixed
L-19,UI / empty-error,"src/pages/FinnipedLibrary.jsx:54-56, 151-155",A load error looks the same as an empty library. The catch sets resources to [] and the page shows 'Nothing matches'. The page also loads all 440 records with full contents arrays (about 800 KB JSON) on every visit.,"Code read. The query_entities full result was 804,471 chars.",minor,"Keep an error state with a retry button. Fetch published only for non-admins (filter({status:'published'})) and a slim field list, and load contents lazily in the reader.",fixed
L-21,Placements,FinnipedPlacement,"The placements are clean. There are 1,440 in total: 720 HeartWise (hw1) plus 720 Numenature (v3), 5 bands x (108 session_plan + 36 child_workbook) each. The count is double the expected 720 only because Numenature is included. There are no orphans: every resource_row_id and slug resolves to a published resource. None has a missing page, a page beyond the book or page_to<page_from, and there are no duplicate placement_ids or keys. Months 4, 8 and 12 have no placements (36 month-weeks per band).","query_entities x3 pages (500+500+440), jq joins against FinnipedResource.",minor,"No fix needed. Confirm that the empty months (April, August, December) are intended holiday months, and that the Daily Plan/week panel shows a 'holiday' note rather than an empty panel.",open
L-22,Files / infra,base44.app file proxy,"HEAD requests to base44.app/api/apps/.../files/... intermittently return 404 application/json instead of redirecting (1 of 182 on the first pass; 2 of 3 retries on the same URL), while GET always works. Link checkers and any HEAD-based pre-check will report false failures.","Node fetch: the same URL alternated HEAD 404 / 200 / 404; GET 200 application/pdf 356,433 bytes.",minor,Use GET with a Range: bytes=0-4 header for health checks. Report the flake to Base44 if HEAD is relied on.,open
L-23,Data / content,FinnipedResource 6a5106dde9224d0391334833,"'My First Heartwise Treasure Book' has 2 pages, while the other 7 My First Treasure Books have 5–6, so it may be incomplete.",jq: pages 2 vs 5-6.,minor,Check the PDF and re-upload the full book if pages are missing.,open
R-13,Route guard,/parent/admin -> KasvunpolkuControl,"This admin control panel is mounted inside ParentGuard, so it is reachable by parents. The page's own check (allowed = super_admin/admin/school_admin/teacher) redirects a parent to '/', so no data is exposed today. The route is still dead and misleading: ParentGuard blocks teachers and school_admins, so only admins can use it.","src/App.jsx:244; src/pages/KasvunpolkuControl.jsx:35-36,89 'if (!isAuthorised) return <Navigate to=""/"" />'",minor,Delete the /parent/admin route (admins already have /kasvunpolku/admin and /admin/kasvunpolku).,open
R-14,Route guard,RoleRouteGuard fail-open,The guard applies only when role is truthy ('role && !isAdminLike'). A user with an empty or undefined role passes into every admin page. Sidebar also defaults a missing role to 'teacher'.,RoleRouteGuard.jsx:42; Sidebar.jsx:165 'user?.role || teacher',minor,Fail closed: treat a missing role as 'user' and block admin routes (if (isAdminRoute && !isAdminLike(role))).,open
R-16,Roles,school_admin record,"The only school_admin has no school_id. School-scoped filters (Enrollment.jsx:62, BackgroundJob RLS data.school_id={{user.data.school_id}}) will show them nothing or behave unexpectedly.",query_entities User: school_admin record has no school_id field,minor,Set school_id on that user. Make UserManagement require school_id when the role is school_admin.,open
R-17,Impersonation,View As (ImpersonationContext/ViewAsPill),"Correctly limited to real role super_admin/admin (isSuperAdmin), audit-logged to ImpersonationEvent (RLS admin-only). Two issues: the name says 'super admin' but plain 'admin' can also impersonate. It is UI-only: pages that read useAuth().user (KasvunpolkuControl, ChildrenNotes, Reports, BackgroundJobs) still render the admin's view, and ReadOnlyGuard only blocks buttons whose text matches write verbs, so writes run with the admin's JWT.",src/lib/ImpersonationContext.jsx:28 isSuperAdmin = super_admin||admin; ViewAsPill.jsx:52; ReadOnlyGuard.jsx:6-17 text-matching; pages use useAuth not useImpersonation (e.g. ChildrenNotes.jsx:11),minor,"Decide whether 'admin' should impersonate; if not, change line 28 to super_admin only. Make pages read effectiveUser from useImpersonation(), and block writes centrally (e.g. wrap base44 entity writes when readOnly).",open
R-20,Backend functions,"sendWeeklySummaryNotifications, sendWeeklyVoiceNote","Scheduled jobs with no auth check that anyone can invoke. During the matching hour, repeated calls queue duplicate ParentNotifications for every parent.",functions/sendWeeklySummaryNotifications/entry.ts:11-55 (only an hour check); sendWeeklyVoiceNote/entry.ts:29-59,minor,"Require the scheduler secret or an admin caller, and dedupe per parent per week.",open
R-22,Backend functions,"exportPolicyToPDF, exportPolicyToWord, exportCurriculumOutline, charterHealthMetrics, generateChapterAudio, generateBookChapterAudio, generateForestSchoolImage, generateSongPracticeSheet, validateAudioAgainstCharter","These check login only (401), not role. A parent or role=user can run paid generation (audio, images) and export any school's policy documents via asServiceRole.",grep of base44/functions/*/entry.ts: asServiceRole used and auth.me() present but no role/403 check (e.g. exportPolicyToPDF/entry.ts:26-43),minor,Add a role check for staff/admin; for policy exports also check doc.school_id === user.school_id unless admin.,open
T-07,Placeholder,Parent > HeartWise book chapter,Button tooltip and aria-label 'Audio coming soon' when chapter has no audio,src/components/parent/hw/heartwise/ChapterToolbar.jsx:39-40,minor,"Hide the Listen button when there is no audio; if kept, use 'Audio not available for this chapter'",partly
T-08,Placeholder,Music full player,Disabled Share button with aria-label 'Share (coming soon)' and title 'Coming soon',src/components/music/player/FullPlayerDialog.jsx:59-66,minor,Remove element,fixed
T-09,Placeholder,Parent settings / HWMe > Language,"Sinhala, Tamil and Finnish shown with 'Coming soon' chip; fi.json, si.json and ta.json are empty ({}), so no translation exists",src/pages/parent/ParentSettings.jsx:187; src/pages/parent/HWMe.jsx:203; src/locales/si.json:1 (0 of 247 keys),minor,Remove the unavailable language rows until translations exist,fixed
T-15,Partly hard-coded,Teacher dashboard > Pedagogy Tip,"Reads KnowledgeModule (real) but falls back to 5 hard-coded tips; 14-day no-repeat is TODO so recent_pedagogy_tip_ids is never written. Fallback tip says outdoor block is 8:00-9:00 'not negotiable', an unverified claim about centre routine","src/components/dashboard/PedagogyTipCard.jsx:6-12,34",minor,Keep live source; drop FALLBACK_TIPS (return null when none) or have the founder confirm the wording,open
T-19,Dashboard metric,Super admin dashboard > Launch Readiness,"'At least one active school' counts all schools, not active ones (School has license_status, not status)",src/components/launch/LaunchReadinessCard.jsx:86-90,minor,Filter on license_status === 'active',open
T-20,Dashboard metric,Super admin dashboard > Launch Readiness,"'Polaris kill switch in safe position' is hard-coded ok:true, so it always passes",src/components/launch/LaunchReadinessCard.jsx:102-105,minor,Rename to 'Polaris mode' (information only) or set ok only when master_enabled is false,open
T-21,Dashboard metric,Super admin dashboard > Launch Readiness,'Sunday digest schedule is enabled' does not check a schedule; it passes if any WeeklyGrowthReport exists,src/components/launch/LaunchReadinessCard.jsx:92-97,minor,Rename 'Weekly reports have been generated' or check the real scheduled job,open
T-22,Dashboard metric,Super admin dashboard > stat tiles,"Schools, Teachers, Activities, People are live counts (useSuperAdminStats), but Activity and User lists cap at 2000 and School at 200, so counts silently stop at the cap",src/lib/dashboard/useSuperAdminStats.js:18-31,minor,"Show '2000+' when the cap is hit, or use a count query",open
T-23,Dashboard bug,Super admin dashboard > Schools list,"Badge shows school.status || 'active'; School has no status field, so every school shows 'active'",src/pages/SuperAdminDashboard.jsx:134,minor,Show school.license_status,open
T-30,Season words,Activity Library sample,"'Leaf Printing with Autumn Colours', 'autumn colours'","src/pages/ActivityLibrary.jsx:78,81",minor,Delete with SAMPLE_ACTIVITIES; or 'Leaf Printing with Garden Colours',fixed
T-32,Season words (metaphor),Parent > growing path hero,"Age bands named as seasons: 'in the first-light season', 'the golden-play season' etc.","src/components/kasvunpolku/parent/SeasonHero.jsx:17-21,45",minor,Keep only if founder approves the metaphor; else 'in the first-light stage',fixed
T-33,Season words (metaphor),Parent milestone pages,'Every child grows in their own season.' / 'Every first is its own season.',src/pages/parent/ParentMilestoneLibrary.jsx:152; src/pages/parent/ParentFirstMoments.jsx:126,minor,'Every child grows at their own pace.' / 'Every first comes in its own time.',fixed
T-34,Season words,Music categories,Category label 'Seasons' (🍂),src/lib/songCategories.js:57,minor,'Weather and nature' (or 'Monsoon and sunshine'),fixed
T-39,US spelling,Finniped library,"'Organize with AI', 'Organizing…', 'Library organized ✨', 'Couldn't finish organizing'","src/components/finniped/OrganizeLibraryButton.jsx:30,33,44",minor,"'Organise with AI', 'Organising…', 'Library organised', 'Couldn't finish organising'",fixed
T-40,US spelling,Various,'toward' (British: 'towards') in visible copy,src/pages/kasvunpolku/MyChild.jsx:249; src/components/dashboard/WeatherCard.jsx:35; src/lib/languageGuard.js:33,minor,'towards',fixed
T-41,US spelling,Festival banner,'acknowledgment',src/components/dashboard/FestivalBanner.jsx:12,minor,'acknowledgement',fixed
T-42,US spelling,Voice catalogue labels,'voice catalog' in admin-visible text,"src/components/music/v2/VoiceCatalogEditor.jsx:95; src/components/music/story/StoryAlbumEditor.jsx:46,195; src/components/music/MusicProviderCard.jsx:288",minor,'voice catalogue',fixed
T-46,Empty state,Evening curriculum home,No .catch on AgeGroup query (skeleton spins for ever on error) and no message when list is empty,"src/pages/curriculum/EveningCurriculumHome.jsx:34-37,81",minor,Add .catch and 'No evening age groups set up yet.',fixed
T-47,Empty state,Children notes page,children.map renders an empty grid with no message when there are no children,src/pages/ChildrenNotes.jsx:54,minor,'No children in this room yet.',fixed
T-50,Meta / PWA,public/manifest.json,PWA name/short_name 'Polaricx'; icons use an AI 'generated_image.png' for both 192 and 512 sizes,"public/manifest.json:2-3,12-22",minor,Confirm app name with founder; supply proper 192 and 512 icons,fixed
T-52,Error message style,Policies,"Errors shown with browser alert() ('Create failed: ', 'Generation failed: ', 'Export failed: ', 'Save failed: ', 'Sign-off failed: ') exposing raw error text","src/pages/policies/NewPolicyDocumentPage.jsx:40; src/pages/policies/PolicyDocumentPage.jsx:94,97; src/components/policies/PolicyExportPanel.jsx:15-16,26-27; src/components/policies/PolicySectionEditor.jsx:77; src/components/policies/PolicySignoffButton.jsx:44; src/components/kasvunpolku/admin/MilestoneEditDialog.jsx:48",minor,Use toast: 'Could not save. Please try again.',open
T-53,Greeting,Teacher dashboard,Greeting only 'Good morning' / 'Good afternoon' (evening teachers see 'Good afternoon' at night); also 'here is your learning journey today' after US date,"src/pages/TeacherDashboard.jsx:50,72",minor,Add 'Good evening' after 17:00,fixed
